Bruttobetrag,SOLL/HABEN,"Konto (Erlöskonto)","Gegenkonto (Debitor)",Belegdatum,Belegnummer,Buchungstext,Zahlungsart,Dokument
109.9,H,44020,111112,211220,20002181,"A: 12006543 | K: 11220",PayPal,PDF
18.49,H,44020,111112,091220,20002036,"A: 12006393 | K: 11063",PayPal,PDF
13.99,H,44020,111112,040121,20002446,"A: 12006689 | K: 11370",Vorkasse,PDF
50.34,H,44020,111112,131120,20001861,"A: 12006215 | K: 10886",PayPal,PDF
116.49,H,44020,111112,071220,20002020,"A: 12006377 | K: 11049",PayPal,PDF
15.06,H,44020,111112,101220,20002039,"A: 12006396 | K: 11066",PayPal,PDF
55.96,H,44020,111112,301220,20002358,"A: 12006727 | K: 11411",PayPal,PDF
67.45,H,44020,111112,101120,20001844,"A: 12006196 | K: 10869",PayPal,PDF
19.67,H,44020,111112,121020,20001689,"A: 12006003 | K: 10561","Mollie PayPal",PDF
51.21,H,44020,111112,211220,20002177,"A: 12006538 | K: 11214",PayPal,PDF
499.99,H,44020,111112,171120,20001895,"A: 12006246 | K: 10917",PayPal,PDF
67.45,H,44020,111112,191020,20001717,"A: 12006035 | K: 10665","Mollie PayPal",PDF
67.45,H,44020,111112,281020,20001763,"A: 12006099 | K: 10782",PayPal,PDF
18.09,H,44020,111112,231220,20002223,"A: 12006587 | K: 11264",PayPal,PDF
319.98,H,44020,111112,061120,20001820,"A: 12006166 | K: 10842",PayPal,PDF
20.99,H,44020,111112,301120,20001972,"A: 12006326 | K: 10996",PayPal,PDF
53.96,H,44020,111112,161120,20001884,"A: 12006235 | K: 10904",Kreditkarte,PDF
41.79,H,44020,111112,020121,20002389,"A: 12006765 | K: 11451",PayPal,PDF
50.34,H,44020,111112,231220,20002232,"A: 12006594 | K: 11270",PayPal,PDF
53.96,H,44020,111112,161120,20001883,"A: 12006233 | K: 10902",PayPal,PDF
175.94,H,44020,111112,271020,20001755,"A: 12006086 | K: 10773",PayPal,PDF
17.99,H,44020,111112,171220,20002121,"A: 12006479 | K: 11154",PayPal,PDF
79.74,H,44020,111112,281220,20002275,"A: 12006628 | K: 11308",PayPal,PDF
53.96,H,44020,111112,091120,20001840,"A: 12006186 | K: 10861",PayPal,PDF
100.02,H,44020,111112,040121,20002443,"A: 12006754 | K: 11440",PayPal,PDF
57.57,H,44020,111112,301220,20002342,"A: 12006713 | K: 11395",PayPal,PDF
27.98,H,44020,111112,211220,20002155,"A: 12006513 | K: 11189",PayPal,PDF
17.35,H,44020,111112,111220,20002045,"A: 12006403 | K: 11075",PayPal,PDF
56.9,H,44020,111112,231120,20001926,"A: 12006281 | K: 10952",PayPal,PDF
59.88,H,44020,111112,091120,20001839,"A: 12006178 | K: 10853",Vorkasse,PDF
